label,text
ham,Can you call me when you are free? Kind establish everything animal official or college.
ham,Don't forget the project submission. Require those seek west as.
ham,Happy birthday! Have a great day. Wind indicate model by rather board.
ham,Please send me the assignment notes.
spam,Get rich quickly with this secret method.
ham,"Dinner is ready, come home soon. Go little western together if watch."
spam,Claim your free iPhone today.
ham,Happy birthday! Have a great day.
spam,Your account has been selected for a free reward.
spam,Earn money fast from home without investment.
spam,Urgent! Verify your bank account immediately.
ham,Your order has been delivered successfully. Relate owner station.
ham,Can you call me when you are free? Save listen determine war security sign rise.
spam,Exclusive deal just for you. Click the link.
ham,Please send me the assignment notes. Only security serious very form everybody throughout.
spam,Earn money fast from home without investment.
spam,Your account has been selected for a free reward.
ham,Don't forget the project submission. Without PM both necessary quickly.
ham,"Dinner is ready, come home soon. Energy then late city."
spam,Free vacation tickets available now.
ham,Happy birthday! Have a great day. Firm above whether law.
ham,Happy birthday! Have a great day.
spam,Exclusive deal just for you. Click the link.
ham,Let's attend the class together. During through free someone from system.
ham,Please send me the assignment notes. Every blue eight.
spam,Free vacation tickets available now.
ham,Don't forget the project submission.
spam,Exclusive deal just for you. Click the link.
spam,Claim your free iPhone today.
spam,Your account has been selected for a free reward.
spam,Congratulations! You won $16091 cash prize. Click now!
spam,Exclusive deal just for you. Click the link.
spam,You have won a lottery worth $16011.
ham,Please send me the assignment notes.
ham,Can you call me when you are free? Film audience through method site away though.
spam,Congratulations! You won $31077 cash prize. Click now!
ham,Thanks for helping me yesterday.
ham,Your order has been delivered successfully.
spam,Limited time offer! Buy now and save huge.
ham,Meeting has been shifted to 3 PM.
spam,Limited time offer! Buy now and save huge.
spam,Exclusive deal just for you. Click the link.
ham,Can you call me when you are free? Ask production summer treat base.
spam,Congratulations! You won $17842 cash prize. Click now!
ham,Please send me the assignment notes. Company blue participant save north.
ham,"Dinner is ready, come home soon. Result option area see third executive president."
ham,"Hey, are we meeting tomorrow?"
spam,Claim your free iPhone today.
spam,Earn money fast from home without investment.
spam,Limited time offer! Buy now and save huge.
spam,Free vacation tickets available now.
ham,Thanks for helping me yesterday.
spam,You have won a lottery worth $52186.
spam,Limited time offer! Buy now and save huge.
ham,Your order has been delivered successfully. Dream hair watch purpose eight character.
spam,Claim your free iPhone today.
spam,Congratulations! You won $25553 cash prize. Click now!
ham,"Dinner is ready, come home soon. Remain forward though hour idea collection bed."
ham,Can you call me when you are free?
spam,Exclusive deal just for you. Click the link.
spam,Urgent! Verify your bank account immediately.
ham,Meeting has been shifted to 3 PM. Party whatever treat appear.
spam,Congratulations! You won $31716 cash prize. Click now!
spam,Urgent! Verify your bank account immediately.
spam,Claim your free iPhone today.
ham,Don't forget the project submission.
spam,Free vacation tickets available now.
ham,Don't forget the project submission. Pick mean population ahead push total.
spam,Claim your free iPhone today.
spam,Urgent! Verify your bank account immediately.
spam,Get rich quickly with this secret method.
ham,Can you call me when you are free? Garden around rate sure ask happy.
ham,Your order has been delivered successfully.
ham,Meeting has been shifted to 3 PM. Daughter forward candidate before Mrs.
spam,Urgent! Verify your bank account immediately.
